1,肖申克的救赎,弗兰克·德拉邦特 Frank Darabont
2,霸王别姬,陈凯歌 Kaige Chen
3,阿甘正传,罗伯特·泽米吉斯 Robert Zemeckis
4,泰坦尼克号,詹姆斯·卡梅隆 James Cameron
5,这个杀手不太冷,吕克·贝松 Luc Besson
6,美丽人生,罗伯托·贝尼尼 Roberto Benigni
7,千与千寻,宫崎骏 Hayao Miyazaki
8,辛德勒的名单,史蒂文·斯皮尔伯格 Steven Spielberg
9,盗梦空间,克里斯托弗·诺兰 Christopher Nolan
10,忠犬八公的故事,莱塞·霍尔斯道姆 Lasse Hallström
11,星际穿越,克里斯托弗·诺兰 Christopher Nolan
12,楚门的世界,彼得·威尔 Peter Weir
13,海上钢琴师,朱塞佩·托纳多雷 Giuseppe Tornatore
14,三傻大闹宝莱坞,拉库马·希拉尼 Rajkumar Hirani
15,机器人总动员,安德鲁·斯坦顿 Andrew Stanton
16,放牛班的春天,克里斯托夫·巴拉蒂 Christophe Barratier
17,无间道,刘伟强 / 麦兆辉
18,疯狂动物城,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore
19,大话西游之大圣娶亲,刘镇伟 Jeffrey Lau
20,熔炉,黄东赫 Dong-hyuk Hwang
21,教父,弗朗西斯·福特·科波拉 Francis Ford Coppola
22,当幸福来敲门,加布里尔·穆奇诺 Gabriele Muccino
23,控方证人,比利·怀尔德 Billy Wilder
24,怦然心动,罗伯·莱纳 Rob Reiner
25,龙猫,宫崎骏 Hayao Miyazaki
